Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,,,Date,Close Price,upperlimit,lowerlimit,label
RELIANCE,EQ,12-Jun-20,1537.7,1500,1593,1497,1588.7,1588.8,1552.68,17790565,27623018098,337575,4514688,25.38,,,12-Jun-20,1588.8,1668.24,1509.36,
RELIANCE,EQ,15-Jun-20,1588.8,1565,1626.95,1561.1,1612.3,1614.55,1593.39,24509162,39052737199,467105,5136354,20.96,,,15-Jun-20,1614.55,1695.2775,1533.8225,
RELIANCE,EQ,16-Jun-20,1614.55,1643,1648.55,1585.3,1614.05,1617.7,1617.17,23623299,38202982643,424919,5774484,24.44,,,16-Jun-20,1617.7,1698.585,1536.815,
RELIANCE,EQ,17-Jun-20,1617.7,1608.25,1635.45,1602.1,1611.85,1615.35,1618.64,19282519,31211518938,299203,7420780,38.48,,,17-Jun-20,1615.35,1696.1175,1534.5825,
RELIANCE,EQ,18-Jun-20,1615.35,1607,1665,1605.6,1662.9,1655.9,1636.4,18677694,30564098283,327308,7786788,41.69,,,18-Jun-20,1655.9,1738.695,1573.105,
RELIANCE,EQ,19-Jun-20,1655.9,1670,1788.8,1662,1763.2,1759.4,1727.35,48828852,84344321447,752773,15752717,32.26,,,19-Jun-20,1759.4,1847.37,1671.43,
RELIANCE,EQ,22-Jun-20,1759.4,1773.4,1804.2,1735,1752.5,1746.15,1771.18,27781772,49206651889,613265,7287358,26.23,,,22-Jun-20,1746.15,1833.4575,1658.8425,
RELIANCE,EQ,23-Jun-20,1746.15,1750,1763.75,1716.1,1721.7,1720.9,1731.86,17521196,30344310522,400333,2789706,34.87,,,23-Jun-20,1720.9,1806.945,1634.855,
RELIANCE,EQ,24-Jun-20,1720.9,1735.9,1772.7,1711.7,1732.5,1727.85,1739.65,23808524,41418523475,488048,5829283,24.48,,,24-Jun-20,1727.85,1814.2425,1641.4575,
RELIANCE,EQ,25-Jun-20,1727.85,1727,1749,1713.05,1719,1717.9,1728.41,18312705,31651803893,318478,6775567,37,,,25-Jun-20,1717.9,1803.795,1632.005,
RELIANCE,EQ,26-Jun-20,1717.9,1728.8,1752,1717,1750,1741.65,1731.91,14270695,24715505751,279769,5042368,35.33,,,26-Jun-20,1741.65,1828.7325,1654.5675,
