symbols,scrips,Date,Close,Today - yesterday Price,5% lower or upper hit?,How much is 5% price diff,5% down price,How much is 5% price diff,5% up price,# days,Back to back
HDFCBANK,EQ,25/02/20,1200,-10,,,,,,,
HDFCBANK,EQ,26/02/20,1199,-1,Y,59.95,1139.05,59.95,1258.95,50,
HDFCBANK,EQ,27/02/20,1199,0,,,,,,,
HDFCBANK,EQ,28/02/20,1178,-21,,,,,,,
HDFCBANK,EQ,02/03/20,1180,2,,,,,,,
HDFCBANK,EQ,03/03/20,1182,2,,,,,,,
HDFCBANK,EQ,04/03/20,1149,-33,,,,,,,
HDFCBANK,EQ,05/03/20,1151,2,,,,,,,
HDFCBANK,EQ,06/03/20,1135,-16,Y,56.75,1078.25,56.75,1191.75,10,
HDFCBANK,EQ,09/03/20,1107,-28,,,,,,,
HDFCBANK,EQ,11/03/20,1114,7,,,,,,,
HDFCBANK,EQ,12/03/20,1021,-93,Y,51.05,969.95,51.05,1072.05,3,
HDFCBANK,EQ,13/03/20,1070,49,,,,,,,
HDFCBANK,EQ,16/03/20,1000,-70,,,,,,,
HDFCBANK,EQ,17/03/20,975,-25,,,,,,,
HDFCBANK,EQ,18/03/20,877,-98,,,,,,,
HDFCBANK,EQ,19/03/20,896,19,Y,44.8,851.2,44.8,940.8,4,
HDFCBANK,EQ,20/03/20,883,-13,,,,,,,
HDFCBANK,EQ,23/03/20,772,-111,Y,38.6,733.4,38.6,810.6,2,
HDFCBANK,EQ,24/03/20,768,-4,,,,,,,
HDFCBANK,EQ,25/03/20,857,89,Y,42.85,814.15,42.85,899.85,2,
HDFCBANK,EQ,26/03/20,901,44,Y,45.05,855.95,45.05,946.05,2,
HDFCBANK,EQ,27/03/20,904,3,,,,,,,
HDFCBANK,EQ,30/03/20,832,-72,Y,41.6,790.4,41.6,873.6,2,
HDFCBANK,EQ,31/03/20,862,30,,,,,,,
HDFCBANK,EQ,01/04/20,830,-32,,,,,,,
HDFCBANK,EQ,03/04/20,814,-16,,,,,,,
HDFCBANK,EQ,07/04/20,896,82,Y,44.8,851.2,44.8,940.8,4,
HDFCBANK,EQ,08/04/20,889,-7,,,,,,,
HDFCBANK,EQ,09/04/20,925,36,,,,,,,
HDFCBANK,EQ,13/04/20,895,-30,,,,,,,
HDFCBANK,EQ,15/04/20,863,-32,,,,,,,
HDFCBANK,EQ,16/04/20,880,17,,,,,,,
HDFCBANK,EQ,17/04/20,910,30,,,,,,,
HDFCBANK,EQ,20/04/20,945,35,Y,47.25,897.75,47.25,992.25,5,
HDFCBANK,EQ,21/04/20,922,-23,,,,,,,
HDFCBANK,EQ,22/04/20,929,7,,,,,,,
HDFCBANK,EQ,23/04/20,955,26,,,,,,,
HDFCBANK,EQ,24/04/20,938,-17,,,,,,,
HDFCBANK,EQ,27/04/20,930,-8,,,,,,,
HDFCBANK,EQ,28/04/20,931,1,,,,,,,
HDFCBANK,EQ,29/04/20,977,46,,,,,,,
HDFCBANK,EQ,30/04/20,1002,25,Y,50.1,951.9,50.1,1052.1,6,
HDFCBANK,EQ,04/05/20,923,-79,Y,46.15,876.85,46.15,969.15,1,
HDFCBANK,EQ,05/05/20,911,-12,,,,,,,
HDFCBANK,EQ,06/05/20,946,35,,,,,,,
HDFCBANK,EQ,07/05/20,925,-21,,,,,,,
HDFCBANK,EQ,08/05/20,929,4,,,,,,,
